item_sku,fulfillment_loc,item_class,hstk_std_cost,P_f,sigma_demand_qty,F,H,L_t,sigma_LT,D,avg_margin_loss_intensity,avg_unit_margin_impact,S_score,item_specific_z,safety_stock_qty,Reorder_Point,total_safety_stock_value
SKU-0469,HREP,Service Equipment : Recovery Machines,40.98,1,0.5773502692,0.005,#####,7,1.75,0.037,30.8975,-30.8975,0.1847975481,1.96,3,3.26119403,122.94
SKU-0916,HREP,"Manifolds, Hoses, Accessories",144.35,1,0.0,0.009,1.156779645,7,1.75,0.052,-24.93285714,24.93285714,0.2843230725,2.33,1,1.365671642,144.35
SKU-0916,CREP,"Manifolds, Hoses, Accessories",141.27,1,0.0,0.002,1.156779645,14,3.5,0.01492537313,-210.54,210.54,0.2908356032,2.33,1,1.208955224,141.27
SKU-0029,CREP,Service Equipment : PM Equipment,19.4,1,0.7071067812,0.002,#####,14,3.5,0.0223880597,22.2,-22.2,0.1845909097,1.96,6,6.313432836,116.4
SKU-0296,HSTK,RRR,3.4,1,7.071067812,0.002,0,7,1.75,0.223880597,3.57,-3.57,0.2129503611,1.96,37,38.56716418,125.8
SKU-0936,HREP,RRR : RRR Service Part,112.73,1,0.0,0.004,#####,7,1.75,0.0223880597,-518.66,518.66,0.201960857,1.96,1,1.156716418,112.73
SKU-0918,CSTK,"Manifolds, Hoses, Accessories",114.03,1,0.0,0.001,1.360964043,7,1.75,0.06,-118.99,118.99,0.3048145269,2.33,1,1.417910448,114.03
SKU-0188,HREP,Service Equipment : PM Equipment,121.52,1,0.0,0.005,#####,7,1.75,0.02985074627,-63.6625,63.6625,0.183500639,1.96,1,1.208955224,121.52
SKU-0876,HREP,RRR,119.92,1,0.0,0.001,#####,7,1.75,0.007,-144.42,144.42,0.1861514633,1.96,1,1.052238806,119.92
SKU-0954,CREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",24.16,1,0.7071067812,0.002,#####,14,3.5,0.0223880597,-39.43,39.43,0.185298362,1.96,6,6.313432836,144.96
SKU-0721,HSTK,RRR : RRR Service Part,142.86,1,0.0,0.001,1,7,1.75,0.007,-177.57,177.57,0.2754702324,2.33,1,1.052238806,142.86
SKU-0721,HREP,RRR : RRR Service Part,130.75,1,0.0,0.001,1,7,1.75,0.007,-177.57,177.57,0.2754702324,2.33,1,1.052238806,130.75
SKU-0859,HREP,RRR,136.58,1,0.0,0.004,#####,7,1.75,0.0223880597,-122.42,122.42,0.1856915078,1.96,1,1.156716418,136.58
SKU-0856,HSTK,RRR : RRR Service Part,146.7,1,0.0,0.001,1.220137176,7,1.75,0.007,-424.92,424.92,0.3049890073,2.33,1,1.052238806,146.7
SKU-0856,CSTK,RRR : RRR Service Part,124.14,1,0.0,0.001,1.220137176,7,1.75,0.007,-557.42,557.42,0.3104293686,2.33,1,1.052238806,124.14
SKU-0856,CREP,RRR,128.44,1,0.0,0.009,1.220137176,14,3.5,0.052,-821.1485714,821.1485714,0.3225879365,2.33,1,1.731343284,128.44
SKU-0860,HREP,RRR,133.34,1,0.0,0.001,#####,7,1.75,0.007,-421.44,421.44,0.1975257191,1.96,1,1.052238806,133.34
SKU-0857,HSTK,RRR : RRR Service Part,143.65,1,0.0,0.001,1,7,1.75,0.02985074627,-327.44,327.44,0.2816237943,2.33,1,1.208955224,143.65
SKU-0857,HREP,RRR : RRR Service Part,138.93,1,0.0,0.001,1,7,1.75,0.067,-421.44,421.44,0.2854833714,2.33,1,1.470149254,138.93
SKU-0914,HREP,"Manifolds, Hoses, Accessories",110.39,1,0.0,0.001,#####,7,1.75,0.02985074627,-39.47,39.47,0.1818422865,1.65,1,1.208955224,110.39
SKU-1043,CSTK,Service Equipment : Vacuum Pumps,133.55,1,0.0,0.01,1.78992907,7,1.75,0.06,69.08125,-69.08125,0.3420477879,2.33,1,1.417910448,133.55
SKU-1043,CREP,Service Equipment : Vacuum Pumps,116.19,1,0.0,0.006,1.78992907,14,3.5,0.037,-227.884,227.884,0.3479030979,2.33,1,1.52238806,116.19
SKU-0724,CREP,RRR : RRR Service Part,115.84,1,0.0,0.002,0.9709505916,14,3.5,0.01492537313,-183.135,183.135,0.273365285,2.33,1,1.208955224,115.84
SKU-0940,CREP,RRR : RRR Service Part,126.41,1,0.0,0.001,0.297472246,14,3.5,0.007,-860.21,860.21,0.2417062822,1.96,1,1.104477612,126.41
SKU-0784,HSTK,Tools : Tubing Tools,131.63,1,0.0,0.001,0,7,1.75,0.007,124.31,-124.31,0.1853257603,1.96,1,1.052238806,131.63
SKU-0822,CREP,RRR : RRR Service Part,15.9,1,0.7071067812,0.004,0.954434,14,3.5,0.0223880597,-38.16,38.16,0.2694176657,2.33,7,7.313432836,111.3
SKU-0137,CSTK,Service Equipment : PM Equipment : PM Adapters,39.0,1,0.4216370214,0.01231527094,0,7,1.75,0.09,41.3,-41.3,0.1858421023,1.96,3,3.626865672,117.0
SKU-0660,CSTK,Service Equipment : PM Equipment,26.32,1,0.7867957925,0.01,0,7,1.75,0.082,24.72,-24.72,0.1863891219,1.96,5,5.574626866,131.6
SKU-0075,CSTK,Service Equipment : PM Equipment,9.15,1,2.121320344,0.002,#####,7,1.75,0.037,10.22,-10.22,0.1905711049,1.96,12,12.26119403,109.8
SKU-0917,HREP,"Manifolds, Hoses, Accessories",134.31,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-25.21,25.21,0.262249601,1.96,1,1.104477612,134.31
SKU-0917,CREP,"Manifolds, Hoses, Accessories",119.96,1,0.0,0.001,0.9182958312,14,3.5,0.09,-98.57,98.57,0.2650400387,2.33,1,2.253731343,119.96
SKU-0920,CSTK,"Manifolds, Hoses, Accessories : Manifolds",124.15,1,0.0,0.001,#####,7,1.75,0.007,-83.89,83.89,0.183666142,1.96,1,1.052238806,124.15
SKU-0083,HSTK,Service Equipment : PM Equipment,104.55,1,0.0,0.001,0,7,1.75,0.007,119.61,-119.61,0.1851327814,1.96,1,1.052238806,104.55
SKU-0378,HSTK,RRR,8.99,1,2.828427125,0.002,0,7,1.75,0.09,7.91,-7.91,0.1937123009,1.96,15,15.62686567,134.85
SKU-0939,HREP,RRR : RRR Service Part,131.34,1,0.0,0.009,0.5435644403,7,1.75,0.052,-120.33,120.33,0.2343030455,1.96,1,1.365671642,131.34
SKU-0939,CSTK,RRR : RRR Service Part,106.15,1,0.0,0.001,0.5435644403,7,1.75,0.007,-242.61,242.61,0.2379937312,1.96,1,1.052238806,106.15
SKU-0903,CSTK,"Manifolds, Hoses, Accessories : Hoses : Hoses Replacement Parts",121.36,1,0.0,0.001,#####,7,1.75,0.007,-54.42,-54.42,0.1824561235,1.65,1,1.052238806,121.36
SKU-0929,HREP,"Manifolds, Hoses, Accessories",125.07,1,0.0,0.007,1.459147913,7,1.75,0.045,-38.63666667,38.63666667,0.3112596699,2.33,1,1.313432836,125.07
SKU-0705,CREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",6.37,1,1.732050808,0.004,1.37095059,14,3.5,0.067,-6.303333333,6.303333333,0.3094360848,2.33,16,16.94029851,101.92
SKU-0927,CREP,"Manifolds, Hoses, Accessories",116.33,1,0.0,0.001,0.8112781216,14,3.5,0.007,-126.82,126.82,0.2567869383,1.96,1,1.104477612,116.33
SKU-0217,HREP,Service Equipment : PM Equipment,124.28,1,0.0,0.002,#####,7,1.75,0.01492537313,-97.95,97.95,0.1844651111,1.96,1,1.104477612,124.28
SKU-0216,HREP,Service Equipment : PM Equipment,112.69,1,0.0,0.002,#####,7,1.75,0.01492537313,-97.95,97.95,0.1844651111,1.96,1,1.104477612,112.69
SKU-0708,CSTK,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",3.67,1,6.363961031,0.002,#####,7,1.75,0.082,-4.265,4.265,0.2097428543,1.96,34,34.57462687,124.78
SKU-0178,CSTK,Service Equipment : PM Equipment,8.7,1,2.041241452,0.007,#####,7,1.75,0.097,10.07,-10.07,0.191085168,1.96,11,11.67910448,95.7
SKU-0206,HSTK,Service Equipment : PM Equipment,124.48,1,0.0,0.001,2.046439337,7,1.75,0.007,-51.42,51.42,0.3623329457,2.33,1,1.052238806,124.48
SKU-0206,CSTK,Service Equipment : PM Equipment,126.4,1,0.0,0.001,2.046439337,7,1.75,0.007,-105.42,105.42,0.3645501495,2.33,1,1.052238806,126.4
SKU-0206,CREP,Service Equipment : PM Equipment,99.16,1,0.0,0.004,2.046439337,14,3.5,0.0223880597,-291.98,291.98,0.372653528,2.33,1,1.313432836,99.16
SKU-0395,CREP,Diagnostic Tools : Injection/Kits/UV Lights,27.01,1,0.4409585518,0.01108374384,1.493213359,14,3.5,0.082,-44.84555556,44.84555556,0.3171939714,2.33,4,5.149253731,108.04
SKU-0211,HREP,Service Equipment : PM Equipment,113.9,1,0.0,0.001,#####,7,1.75,0.007,-20.04,-20.04,0.1810445037,1.65,1,1.052238806,113.9
SKU-0555,CSTK,Service Equipment : MiST Machines : MiST Machines Service Parts,8.15,1,2.886751346,0.004,0,7,1.75,0.06,7.29,-7.29,0.1941754372,1.96,15,15.41791045,122.25
SKU-0189,CREP,Service Equipment : PM Equipment,97.49,1,0.0,0.001,1,14,3.5,0.007,-54.71,54.71,0.2704256831,2.33,1,1.104477612,97.49
SKU-0189,HREP,Service Equipment : PM Equipment,103.17,1,0.0,0.001,1,7,1.75,0.045,-108.98,108.98,0.2726539729,2.33,1,1.313432836,103.17
SKU-0930,HREP,"Manifolds, Hoses, Accessories : Manifolds",116.78,1,0.0,0.001,#####,7,1.75,0.037,-285.64,285.64,0.191949862,1.96,1,1.26119403,116.78
SKU-0787,CSTK,Instruments : Scales,104.29,1,0.0,0.001,#####,7,1.75,0.007,-162.43,162.43,0.1868909418,1.96,1,1.052238806,104.29
SKU-1041,CSTK,Service Equipment : Vacuum Pumps,109.78,1,0.0,0.001,0,7,1.75,0.007,106.43,-106.43,0.1845916194,1.96,1,1.052238806,109.78
SKU-1041,HREP,Service Equipment : Vacuum Pumps,108.35,1,0.0,0.002,0,7,1.75,0.01492537313,106.43,-106.43,0.1848132943,1.96,1,1.104477612,108.35
SKU-1083,CSTK,Other,0.57,1,33.90506705,0.01108374384,#####,7,1.75,2.798507463,0.5,-0.5,0.3371806454,2.33,210,229.5895522,119.7
SKU-0829,CREP,RRR,93.05,1,0.0,0.001,0.9219280906,14,3.5,0.007,-81.07,81.07,0.2646409854,2.33,1,1.104477612,93.05
SKU-0829,HSTK,RRR : RRR Service Part,118.29,1,0.0,0.001,0.9219280906,7,1.75,0.007,-141.74,141.74,0.267132055,2.33,1,1.052238806,118.29
SKU-0352,CSTK,Diagnostic Tools : Injection/Kits/UV Lights,26.53,1,0.5773502692,0.004,1.521928091,7,1.75,0.02985074627,-78.35333333,78.35333333,0.3203896001,2.33,4,4.208955224,106.12
SKU-0625,HSTK,Other,28.77,1,0.5,0.006,1,7,1.75,0.052,25.66,-25.66,0.2724078369,2.33,4,4.365671642,115.08
SKU-0086,HREP,Service Equipment : PM Equipment,90.11,1,0.0,0.001,1,7,1.75,0.007,-133.97,133.97,0.2736800456,2.33,1,1.052238806,90.11
SKU-0086,CREP,Service Equipment : PM Equipment,106.09,1,0.0,0.001,1,14,3.5,0.007,-255.41,255.41,0.2786662907,2.33,1,1.104477612,106.09
SKU-0663,CSTK,RM,0.13,1,0.0,0.001,0,7,1.75,373.1343284,0.12,-0.12,0.180226602,1.28,836,3447.940299,108.68
SKU-0172,HREP,Diagnostic Tools : Smoke Diagnostics,108.56,1,0.0,0.001,0,7,1.75,0.007,99.96,-99.96,0.1843259656,1.96,1,1.052238806,108.56
SKU-0171,HSTK,Diagnostic Tools : Smoke Diagnostics,85.25,1,0.0,0.001,0,7,1.75,0.1268656716,99.94,-99.94,0.1843251444,1.96,1,1.888059701,85.25
SKU-0091,HREP,Service Equipment : PM Equipment,19.49,1,0.7071067812,0.002,1.499999996,7,1.75,0.0223880597,-26.67,26.67,0.3167109234,2.33,5,5.156716418,97.45
SKU-0179,CSTK,Service Equipment : PM Equipment,4.85,1,3.297381882,0.01477832512,#####,7,1.75,0.3656716418,5.48,-5.48,0.1979754261,1.96,18,20.55970149,87.3
SKU-0792,CSTK,RRR : RRR Service Part,87.37,1,0.0,0.002,1.291691991,7,1.75,0.01492537313,-103.17,103.17,0.2982936362,2.33,1,1.104477612,87.37
SKU-0792,CREP,RRR : RRR Service Part,103.57,1,0.0,0.001,1.291691991,14,3.5,0.007,-143.7,143.7,0.2997360959,2.33,1,1.104477612,103.57
SKU-0290,HSTK,RRR,110.81,1,0.0,0.001,0,7,1.75,0.007,97.46,-97.46,0.1842233173,1.96,1,1.052238806,110.81
SKU-0869,CSTK,RRR : RRR Service Part,100.91,1,0.0,0.001,0.64,7,1.75,0.007,-320.94,320.94,0.2497103,1.96,1,1.052238806,100.91
SKU-0955,HREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",17.05,1,0.9161253813,0.01,0.5032583319,7,1.75,0.097,-27.37375,27.37375,0.2313553757,1.96,5,5.68,85.25
SKU-0213,CREP,Service Equipment : PM Equipment,89.13,1,0.0,0.001,#####,14,3.5,0.01492537313,-36.12,36.12,0.1817047378,1.65,1,1.208955224,89.13
SKU-0183,HREP,RM : RM,92.75,1,0.0,0.001,#####,7,1.75,0.01492537313,-48.3,48.3,0.1822048404,1.65,1,1.104477612,92.75
SKU-0794,HREP,RRR : RRR Replacement Part,84.88,1,0.0,0.002,1.521928091,7,1.75,0.01492537313,-104.67,104.67,0.3186062519,2.33,1,1.104477612,84.88
SKU-0794,CSTK,RRR : RRR Replacement Part,105.61,1,0.0,0.001,1.521928091,7,1.75,0.007,-198.59,198.59,0.3222408694,2.33,1,1.052238806,105.61
SKU-0719,HREP,RRR : RRR Service Part,86.74,1,0.0,0.001,0.9182958312,7,1.75,0.0223880597,-121.17,121.17,0.2659679795,2.33,1,1.156716418,86.74
SKU-0719,CREP,RRR,84.88,1,0.0,0.002,0.9182958312,14,3.5,0.01492537313,-179.92,179.92,0.2686019,2.33,1,1.208955224,84.88
SKU-0866,HREP,RRR : RRR Service Part,33.84,1,0.5773502692,0.004,#####,7,1.75,0.037,-34.23333333,34.23333333,0.1847128403,1.96,3,3.26119403,101.52
SKU-1035,HREP,Instruments : Measurement & Test,83.76,1,0.0,0.001,#####,7,1.75,0.007,-51.27,51.27,0.1823267866,1.65,1,1.052238806,83.76
SKU-1083,HSTK,Other,0.49,1,30.15113446,0.01477832512,#####,7,1.75,4.59,0.5,-0.5,0.3206659633,2.33,187,219.1268657,91.63
SKU-0827,HREP,RRR : RRR Service Part,90.63,1,0.0,0.001,#####,7,1.75,0.01492537313,-96.09,96.09,0.1841670658,1.96,1,1.104477612,90.63
SKU-1007,CREP,Tools : Hand Tools,78.81,1,0.0,0.001,#####,14,3.5,0.007,-69.84,69.84,0.1830892584,1.65,1,1.104477612,78.81
SKU-1007,HSTK,Tools : Hand Tools,91.67,1,0.0,0.001,#####,7,1.75,0.007,90.16,-90.16,0.183923584,1.96,1,1.052238806,91.67
SKU-0765,CSTK,Tools : Tubing Tools,89.53,1,0.0,0.002,#####,7,1.75,0.01492537313,-43.145,43.145,0.1822148545,1.65,1,1.104477612,89.53
SKU-0765,HSTK,Tools : Tubing Tools,94.62,1,0.0,0.001,#####,7,1.75,0.0223880597,90.07,-90.07,0.1839198887,1.96,1,1.156716418,94.62
SKU-0237,HREP,RRR,0.33,1,39.33174632,0.002,#####,7,1.75,11.62686567,-0.106034483,0.035,0.360446245,2.33,248,329.3880597,81.84
SKU-0962,HREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",7.09,1,1.892969449,0.005,0.9182958312,7,1.75,0.067,-8.4675,8.4675,0.270668606,2.33,12,12.47014925,85.08
SKU-0769,CSTK,Tools : Tubing Tools,91.88,1,0.0,0.004,#####,7,1.75,0.0223880597,13.89666667,-13.89666667,0.1812356123,1.65,1,1.156716418,91.88
SKU-0769,HREP,Tools : Tubing Tools,75.46,1,0.0,0.004,#####,7,1.75,0.0223880597,87.68,-87.68,0.1842651066,1.96,1,1.156716418,75.46
SKU-0391,HREP,Diagnostic Tools : Injection/Kits/UV Lights,8.59,1,1.303840481,0.006,1,7,1.75,0.067,-26.16,26.16,0.276107107,2.33,9,9.470149254,77.31
SKU-1044,HSTK,Service Equipment : Vacuum Pumps,81.46,1,0.0,0.004,0,7,1.75,0.0223880597,87.12,-87.12,0.1842421135,1.96,1,1.156716418,81.46
SKU-0943,HREP,RRR : RRR Service Part,76.76,1,0.0,0.002,#####,7,1.75,0.01492537313,-179.48,179.48,0.1878127,1.96,1,1.104477612,76.76
SKU-1039,HREP,Service Equipment : Vacuum Pumps,74.5,1,0.0,0.001,0,7,1.75,0.007,86.44,-86.44,0.1837708434,1.96,1,1.052238806,74.5
SKU-0088,HSTK,Service Equipment : PM Equipment,97.26,1,0.0,0.001,0,7,1.75,0.075,84.85,-84.85,0.1837055591,1.96,1,1.52238806,97.26
SKU-0358,HREP,Diagnostic Tools : Injection/Kits/UV Lights,82.53,1,0.0,0.002,0.9182958312,7,1.75,0.01492537313,-38.09,38.09,0.2627784452,1.96,1,1.104477612,82.53
SKU-0358,CREP,Diagnostic Tools : Injection/Kits/UV Lights,84.49,1,0.0,0.001,0.9182958312,14,3.5,0.007,-158.77,158.77,0.2675118104,2.33,1,1.104477612,84.49
SKU-0736,HREP,RRR,76.77,1,0.0,0.001,#####,7,1.75,0.067,-105.77,105.77,0.1845645,1.96,1,1.470149254,76.77
SKU-0919,CREP,"Manifolds, Hoses, Accessories",70.59,1,0.0,0.002,#####,14,3.5,0.01492537313,-59.67,59.67,0.1828933599,1.65,1,1.208955224,70.59
SKU-0666,CSTK,Service Equipment : PM Equipment,2.84,1,5.77907093,0.02339901478,0,7,1.75,1.388059701,2.64,-2.64,0.2107678822,1.96,31,40.71641791,88.04
SKU-0785,CSTK,Instruments : Scales,87.21,1,0.0,0.001,1,7,1.75,0.007,-153.28,153.28,0.2744729013,2.33,1,1.052238806,87.21
SKU-1036,HSTK,Instruments : Measurement & Test,92.86,1,0.0,0.001,0,7,1.75,0.01492537313,81.33,-81.33,0.1835610302,1.96,1,1.104477612,92.86
SKU-0054,HREP,Diagnostic Tools : Smoke Diagnostics,69.13,1,0.0,0.001,0,7,1.75,0.01492537313,80.73,-80.73,0.1835363946,1.96,1,1.104477612,69.13
SKU-0957,HREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",11.83,1,0.894427191,0.006,1.548794935,7,1.75,0.052,-17.504,17.504,0.32214875,2.33,6,6.365671642,70.98
SKU-0218,HSTK,Service Equipment : PM Equipment : PM Adapters,84.61,1,0.0,0.002,0,7,1.75,0.01492537313,79.55,-79.55,0.1837096195,1.96,1,1.104477612,84.61
SKU-0218,CSTK,Service Equipment : PM Equipment : PM Adapters,75.49,1,0.0,0.002,0,7,1.75,0.01492537313,79.55,-79.55,0.1837096195,1.96,1,1.104477612,75.49
SKU-0357,CREP,Diagnostic Tools : Injection/Kits/UV Lights,67.46,1,0.0,0.001,#####,14,3.5,0.007,-82.32,82.32,0.1836016789,1.96,1,1.104477612,67.46
SKU-0806,HSTK,Diagnostic Tools : Injection/Kits/UV Lights,12.05,1,1.0,0.005,#####,7,1.75,0.045,12.81,-12.81,0.1859891252,1.96,6,6.313432836,72.3
SKU-0804,HSTK,Diagnostic Tools : Injection/Kits/UV Lights,11.23,1,1.0,0.005,0,7,1.75,0.045,12.81,-12.81,0.1859891254,1.96,6,6.313432836,67.38
SKU-0872,HREP,RRR : RRR Service Part,84.62,1,0.0,0.001,#####,7,1.75,0.01492537313,-44.0,44.0,0.1820282853,1.65,1,1.104477612,84.62
SKU-1045,HSTK,RRR : RRR Service Part,84.67,1,0.0,0.001,1,7,1.75,0.007,76.07,-76.07,0.2713027104,2.33,1,1.052238806,84.67
SKU-1045,CSTK,RRR : RRR Service Part,79.19,1,0.0,0.007,1,7,1.75,0.045,76.07,-76.07,0.2724110847,2.33,1,1.313432836,79.19
SKU-1045,HREP,RRR : RRR Service Part,73.46,1,0.0,0.001,1,7,1.75,0.01492537313,-140.65,140.65,0.2739543219,2.33,1,1.104477612,73.46
SKU-1045,CREP,RRR : RRR Service Part,82.2,1,0.0,0.001,1,14,3.5,0.007,-252.29,252.29,0.2785381856,2.33,1,1.104477612,82.2
SKU-0807,HSTK,Instruments : AAB Smart Tools,9.88,1,1.5,0.005,0,7,1.75,0.052,9.5,-9.5,0.1881414469,1.96,8,8.365671642,79.04
SKU-0877,CREP,RRR : RRR Service Part,82.06,1,0.0,0.001,0.5032583319,14,3.5,0.007,-328.37,328.37,0.2379697488,1.96,1,1.104477612,82.06
SKU-0889,CREP,"Manifolds, Hoses, Accessories : Hoses",15.02,1,0.5773502692,0.004,0.8112781216,14,3.5,0.02985074627,-7.013333333,7.013333333,0.2549533245,1.96,5,5.417910448,75.1
SKU-0219,HREP,Diagnostic Tools : Smoke Diagnostics,8.5,1,1.764733893,0.05911330049,0,7,1.75,0.3582089552,7.47,-7.47,0.199023334,1.96,10,12.50746269,85.0
SKU-0356,HREP,Diagnostic Tools : Injection/Kits/UV Lights,13.99,1,0.7071067812,0.002,0.9182958312,7,1.75,0.0223880597,-16.56,16.56,0.2651304808,2.33,5,5.156716418,69.95
SKU-0356,CREP,Diagnostic Tools : Injection/Kits/UV Lights,15.4,1,0.5,0.005,0.9182958312,14,3.5,0.037,-45.675,45.675,0.2658214579,2.33,5,5.52238806,77.0
SKU-0844,CREP,RRR : RRR Service Part,81.0,1,0.0,0.002,0.5435644403,14,3.5,0.01492537313,-246.27,246.27,0.2383656833,1.96,1,1.208955224,81.0
SKU-0050,CSTK,Diagnostic Tools : Smoke Diagnostics : Smoke Diagnostics Service Parts,82.69,1,0.0,0.001,#####,7,1.75,0.007,73.95,-73.95,0.1832580123,1.65,1,1.052238806,82.69
SKU-0050,CREP,Diagnostic Tools : Smoke Diagnostics : Smoke Diagnostics Service Parts,83.86,1,0.0,0.001,#####,14,3.5,0.01492537313,73.95,-73.95,0.1832580123,1.65,1,1.208955224,83.86
SKU-0972,CREP,Service Equipment : Airlift,71.29,1,0.0,0.001,#####,14,3.5,0.007,-5.63,5.63,0.1804528388,1.28,1,1.104477612,71.29
SKU-0768,CREP,Tools : Soldering Brazing,77.25,1,0.0,0.004,0.9709505916,14,3.5,0.0223880597,-74.28666667,74.28666667,0.2691177201,2.33,1,1.313432836,77.25
SKU-0950,CREP,Diagnostic Tools,68.18,1,0.0,0.002,#####,14,3.5,0.01492537313,-68.975,68.975,0.183275417,1.65,1,1.208955224,68.18
SKU-0696,HSTK,Instruments : AAB Smart Tools,75.51,1,0.0,0.001,0,7,1.75,0.01492537313,72.27,-72.27,0.1831890327,1.65,1,1.104477612,75.51
SKU-0305,HSTK,"Manifolds, Hoses, Accessories : Couplers",21.77,1,0.0,0.001,0,7,1.75,0.6940298507,24.05,-24.05,0.1812091518,1.65,3,7.858208955,65.31
SKU-0344,HSTK,RRR,70.44,1,0.0,0.001,0,7,1.75,0.075,72.14,-72.14,0.183183695,1.65,1,1.52238806,70.44
SKU-0331,HREP,Service Equipment : Recovery Machines,13.47,1,1.095445115,0.006,0,7,1.75,0.082,11.96,-11.96,0.1866127002,1.96,6,6.574626866,80.82
SKU-0304,HSTK,"Manifolds, Hoses, Accessories : Couplers",26.01,1,0.0,0.001,0,7,1.75,0.6940298507,23.79,-23.79,0.1811984764,1.65,3,7.858208955,78.03
SKU-0980,HSTK,Tools : Soldering Brazing,71.21,1,0.0,0.002,0,7,1.75,0.01492537313,71.28,-71.28,0.1833700588,1.96,1,1.104477612,71.21
SKU-0777,CSTK,Tools : Tubing Tools,63.22,1,0.0,0.001,#####,7,1.75,0.007,70.71,-70.71,0.18312498,1.65,1,1.052238806,63.22
SKU-0777,HREP,Tools : Tubing Tools,68.56,1,0.0,0.009,#####,7,1.75,0.052,52.66142857,-52.66142857,0.183713967,1.96,1,1.365671642,68.56
SKU-0864,CREP,RRR : RRR Service Part,62.83,1,0.0,0.005,0.85,14,3.5,0.02985074627,-209.2325,209.2325,0.2638112219,1.96,1,1.417910448,62.83
SKU-0864,CSTK,RRR : RRR Service Part,61.35,1,0.0,0.001,0.85,7,1.75,0.007,-245.35,245.35,0.2646291576,2.33,1,1.052238806,61.35
SKU-0243,HSTK,Diagnostic Tools : Injection/Kits/UV Lights,0.36,1,35.35533906,0.002,0,7,1.75,1.865671642,0.32,-0.32,0.3422586365,2.33,219,232.0597015,78.84
SKU-0292,HSTK,Service Equipment : Recovery Machines,69.22,1,0.0,0.002,0,7,1.75,0.045,69.4,-69.4,0.1832928673,1.96,1,1.313432836,69.22
SKU-0486,HSTK,RRR,3.2,1,3.535533906,0.002,0,7,1.75,0.052,3.65,-3.65,0.1967734311,1.96,19,19.36567164,60.8
SKU-0737,HREP,RRR : RRR Service Part,8.2,1,1.732050808,0.004,#####,7,1.75,0.045,-7.433333333,7.433333333,0.1888968862,1.96,9,9.313432836,73.8
SKU-0359,CSTK,Diagnostic Tools : Injection/Kits/UV Lights,60.32,1,0.0,0.001,1.06127812,7,1.75,0.007,-79.95,79.95,0.2768519004,2.33,1,1.052238806,60.32
SKU-0362,HSTK,RRR,1.11,1,11.54700538,0.004,0,7,1.75,0.5223880597,1.15,-1.15,0.233556603,1.96,60,63.65671642,66.6
SKU-0639,HREP,Service Equipment : PM Equipment,5.25,1,2.121320344,0.004,0,7,1.75,0.037,5.71,-5.71,0.1906076023,1.96,12,12.26119403,63.0
SKU-1023,HREP,Service Equipment : Recovery Machines,61.28,1,0.0,0.001,#####,7,1.75,0.01492537313,-35.37,35.37,0.1816739433,1.65,1,1.104477612,61.28
SKU-0309,HSTK,Other,0.92,1,14.14213562,0.002,0,7,1.75,0.2985074627,0.91,-0.91,0.2452015729,1.96,74,76.08955224,68.08
SKU-0912,HSTK,Instruments : Electronic Leak Detectors,71.61,1,0.0,0.001,0,7,1.75,0.007,67.18,-67.18,0.1829800407,1.65,1,1.052238806,71.61
SKU-0227,CSTK,Service Equipment : EGR,66.37,1,0.0,0.001,#####,7,1.75,0.007,-27.2,27.2,0.1813384885,1.65,1,1.052238806,66.37
SKU-0452,CREP,Service Equipment : Airlift,72.85,1,0.0,0.001,0.6998578527,14,3.5,0.007,-90.43,90.43,0.2454925239,1.96,1,1.104477612,72.85
SKU-0659,HREP,Service Equipment : PM Equipment,74.08,1,0.0,0.001,#####,7,1.75,0.007,-4.42,-4.42,0.180403157,1.28,1,1.052238806,74.08
SKU-0659,HSTK,Service Equipment : PM Equipment,71.91,1,0.0,0.002,#####,7,1.75,0.01492537313,65.84,-65.84,0.183146696,1.65,1,1.104477612,71.91
SKU-0659,CREP,Service Equipment : PM Equipment,74.86,1,0.0,0.002,#####,14,3.5,0.01492537313,65.84,-65.84,0.183146696,1.65,1,1.208955224,74.86
SKU-0959,CREP,"Manifolds, Hoses, Accessories : Adapters, Valves, Fittings",12.37,1,0.7071067812,0.002,#####,14,3.5,0.0223880597,-18.09,18.09,0.1844221559,1.96,6,6.313432836,74.22
SKU-0184,CREP,Service Equipment : PM Equipment,71.86,1,0.0,0.001,#####,14,3.5,0.007,-7.28,7.28,0.1805205867,1.65,1,1.104477612,71.86
SKU-0294,HREP,Diagnostic Tools : Injection/Kits/UV Lights : Injection/Kits/UV Lights Service Parts,60.95,1,0.0,0.002,0.9709505916,7,1.75,0.01492537313,-89.06,89.06,0.2695026284,2.33,1,1.104477612,60.95
SKU-0294,CSTK,Diagnostic Tools : Injection/Kits/UV Lights : Injection/Kits/UV Lights Service Parts,58.64,1,0.0,0.004,0.9709505916,7,1.75,0.0223880597,-128.67,128.67,0.2713506634,2.33,1,1.156716418,58.64
